[2026-03-07T21:14:14.654+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.677+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.678+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:14.717+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-02 01:46:19+00:00
[2026-03-07T21:14:14.725+0000] {standard_task_runner.py:60} INFO - Started process 426 to run task
[2026-03-07T21:14:14.732+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-02T01:46:19+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp8n5ydu23']
[2026-03-07T21:14:14.736+0000] {standard_task_runner.py:88} INFO - Job 5: Subtask stream_processing
[2026-03-07T21:14:28.324+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [info     ] Claim fraud scored             claim_id=CLM-DAC48E9B2C08 fraud_score=0.4983 risk_level=medium rules=['high_amount', 'weekend_filing', 'late_filing', 'excessive_amount_for_type']
[2026-03-07T21:14:28.340+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-DAC48E9B2C08.json
[2026-03-07T21:14:28.391+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-DAC48E9B2C08 latency_ms=0.3879070281982422 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:14:28.393+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [info     ] Claim enriched                 claim_id=CLM-DAC48E9B2C08 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.39
[2026-03-07T21:14:28.404+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-DAC48E9B2C08.json
[2026-03-07T21:14:28.471+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-DAC48E9B2C08 latency_ms=246.05274200439453 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:14:28.543+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to PostgreSQL           claim_id=CLM-DAC48E9B2C08
[2026-03-07T21:14:28.631+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-DAC48E9B2C08 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:14:28.687+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-1D54BD80F59B latency_ms=0.2543926239013672 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:28.690+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [info     ] Claim validated                claim_id=CLM-1D54BD80F59B errors=0 latency_ms=0.25 valid=True
[2026-03-07T21:14:28.712+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to S3                   key=validated/2026/03/07/CLM-1D54BD80F59B.json
[2026-03-07T21:14:28.773+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-1D54BD80F59B latency_ms=0.3962516784667969 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:14:28.774+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [info     ] Claim fraud scored             claim_id=CLM-1D54BD80F59B fraud_score=0.2232 risk_level=low rules=['high_amount', 'weekend_filing', 'late_filing']
[2026-03-07T21:14:28.799+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-1D54BD80F59B.json
[2026-03-07T21:14:28.847+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [debug    ] Lineage event recorded         claim_id=CLM-1D54BD80F59B latency_ms=0.5884170532226562 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:14:28.848+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:28 [info     ] Claim enriched                 claim_id=CLM-1D54BD80F59B fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.59
